file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-X-2012-P-D-B05-4-R-01_0193_1665639_to_1668063,ཨེ། འདི་མ་གཞུས། མ་གཞུས།  ,e/_'di ma gzhus/_ma gzhus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2012-P-D-B05-4-R-01_0193_1665639_to_1668063.wav,STT_CS,3,25,2.424,wav16k/STT_CS-X-2012-P-D-B05-4-R-01_0193_1665639_to_1668063.wav,་། ད་མ་བྱེད་ ་ཤག།
STT_TT00654_0240_2144135_to_2146471,མི་དགེ་བའི་བཤེས་གཉེན་དང་། སྡིག་པའི་གྲོགས་པོའི་དབང་དུ་འགྲོ་ན།  ,mi dge ba'i bshes gnyen dang /_sdig pa'i grogs po'i dbang du 'gro na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00654_0240_2144135_to_2146471.wav,STT_TT,3,62,2.336,wav16k/STT_TT00654_0240_2144135_to_2146471.wav,མི་དགེ་བའི་བཤེས་གཉེན་དང་། སྡིག་པའི་གྲོགས་པོའི་དབང་དུ་འགྲོ་ན།
STT_NS_M0056_0153_1416074_to_1424874,སོ་སོ་སོ་སོས་ཡོད་བ་དུས་ཚོད་ཡོད་ན་བྱས་བཞག་ན་ཡག་ཤོས་རེད་ཡོད་བ། ཨེ་ནས་མཇུག་མར་བྱེད་ཡ་ཡིན་མཇུག་མར་ཅིག་ཡོད་བ། དེ་རིང་དེ་སང་ཉིན་ཆགས། སང་ཉིན་དེ་གནངས་ཉིན་ཆགས། ཨེ་ནས་གཞུག་ནས་སོ་སོ་འགྱོད་པ་སྐྱེས་ཡ་དང་ཨེ་འདྲ་ལྷག་ ,so so so sos yod ba dus tshod yod na byas bzhag na yag shos red yod ba/_e nas mjug mar byed ya yin mjug mar cig yod ba/_de ring de sang nyin chags/_sang nyin de gnangs nyin chags/_e nas gzhug nas so so 'gyod pa skyes ya dang e 'dra lhag _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0056_0153_1416074_to_1424874.wav,STT_NS,3,202,8.8,wav16k/STT_NS_M0056_0153_1416074_to_1424874.wav,སོ་སོ་སོ་སོ་ཡོད་བ་དུས་ཚོད་ཡོད་ན་བྱས་བཞག་ན་ཡག་ཤོས་རེད་ཡོད་བ། ཨེ་ནས་མཇུག་མ་བྱེད་ཡ་ཡིན་མཇུག་མ་ཅི་ཡོད་བ། དེ་རིང་འདི་སང་ཉིན་ཆགས། སང་ཉིན་འདི་གནང་ཉིན་ཆགས། ཨེ་ནས་མཇུག་ནས་སོ་སོ་འགྱོད་པ་སྐྱེས་ཡ་དང་ཨེ་འདྲའི་ལྷ
STT_NS_M0054_0156_1442901_to_1452787,ལབ་ཀི་འདུག་བ། ང་ཚོ་འདི་མོག་མོག་དང་ཆའོ་མེན་དེ་ང་ཚོ་བོད་པ་ཀ་ཅི་ཁ་ལག་རཱ། ཨེ་ནས་དེང་སང་ང་ཚོ་འདི་རྒྱ་གར་ལ་མང་པོ་བཙོང་གི་འདུག་བ། ང་ཚོ་འདི་ང་བསམ་ ,lab ki 'dug ba/_nga tsho 'di mog mog dang cha'o men de nga tsho bod pa ka ci kha lag rA/_e nas deng sang nga tsho 'di rgya gar la mang po btsong gi 'dug ba/_nga tsho 'di nga bsam _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0054_0156_1442901_to_1452787.wav,STT_NS,3,139,9.886,wav16k/STT_NS_M0054_0156_1442901_to_1452787.wav,འདུལབ་ཀི་འདུག་བ། ཨོང་ཚོ་འདི་མོག་མོག་དང་ཆའོ་མེན་འདི་ང་ཚོ་བོད་པ་ཀ་ཅི་ཁ་ལག་རཱ། ཨེ་ནས་དེང་སང་ང་ཚོ་འདི་རྒྱ་གར་ལ་མང་པོ་བཙོང་གི་འདུག་བ། ང་ཚོ་འདི་ང་བསམ།
STT_NS_M0055_0124_1147412_to_1156477,ད་ནོར་འཁྲུལ་མེད་རྒྱོ་མ་རཱ། ཚང་མ་ནོར་འཁྲུལ་ཡོད་རྒྱོ་རཱ། ཨོ་དེ་བྱས་ནས་ད་གལ་སྲིད་ཕར་ཕྱོགས་མི་ལ་སོ་སོ་ཀི་ད་སློབ་སྦྱོང་སྤྲད་ཐུབ་ཡ་ཡོད་ན་ཡོད་བ་ད་ང་ཚོ་སློབ་སྦྱོང་བྱས་ནས་མི་དེ་གིས་ནོར་ས་དེ་ཡོད་བ་ད་ནོར་ ,da nor 'khrul med rgyo ma rA/_tshang ma nor 'khrul yod rgyo rA/_o de byas nas da gal srid phar phyogs mi la so so ki da slob sbyong sprad thub ya yod na yod ba da nga tsho slob sbyong byas nas mi de gis nor sa de yod ba da nor _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0055_0124_1147412_to_1156477.wav,STT_NS,3,194,9.065,wav16k/STT_NS_M0055_0124_1147412_to_1156477.wav,ད་ནོར་འཁྲུལ་མེད་རྒྱོ་མ་རཱེ། ཚང་མ་ནོར་འཁྲུལ་ཡོད་རྒྱོ་རཱ། ཨོ་འདི་བྱས་ནས་ད་གལ་སྲིད་ཕར་ཕྱོགས་མི་ལ་སོ་སོ་གི་ད་སློབ་སྦྱོང་སྤྲད་ཐུབ་ཡ་ཡོད་ན་ཡོད་བ། ད་ང་ཚོ་སློབ་སྦྱོང་སྤྲད་ནས་མི་འདི་གི་ནོར་ས་དི་ཡོད་བ་ད་ནོར།
STT_TT00664_0504_4735520_to_4742022,ཨ། དོན་ཚན་བཞི་པ། མྱུར་ལམ་དམར་ཁྲིད་ནས་གསུངས་པ་ལྟར་གྱི་དོན་ཆེ་བ་བསམ་བློ་དེ་གཏང་ཨ། དེའི་ནང་ལ།  ,a/_don tshan bzhi pa/_myur lam dmar khrid nas gsungs pa ltar gyi don che ba bsam blo de gtang a/_de'i nang la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00664_0504_4735520_to_4742022.wav,STT_TT,3,92,6.502,wav16k/STT_TT00664_0504_4735520_to_4742022.wav,ཨ། དོན་ཚན་བཞི་པ། མྱུར་ལམ་མ་ཁྲིད་ནས་གསུངས་པ་ལྟར་གི།་དོན་ཆེ་བ་བསམ་བློ་དེ་བཏང་ཨ། དེའི་ནང་ལ།
STT_TT00605_0023_127687_to_131168,བྱས་ཙང་ཐབས་ཤེས་བྱེད་ཀི་ཡིན་ན། ཐེབས་ཤེས་གང་ཡོང་བྱས་ན་ཡག་པོ་འདུག་བ།  ,byas tsang thabs shes byed ki yin na/_thebs shes gang yong byas na yag po 'dug ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00605_0023_127687_to_131168.wav,STT_TT,3,67,3.481,wav16k/STT_TT00605_0023_127687_to_131168.wav,བྱས་ཙང་ཐབས་ཤེས་བྱེད་ཀི་ཡིན་ན། ཐབས་ཤེས་གང་ཡོང་ན་བྱས་ན་ཡག་པོ་འདུག་ག
STT_NS_M0057_0109_941039_to_950198,ཐག་རིང་པོ་ཆགས་ཀི་འདུག་བ། ཨེ་ནས་ཐག་རིང་པོ་ཆགས་དུས་སྐབས་སུ། ཨེ་ནས་འབྲེལ་བ་དེ་ཡོད་བ་ད་ཅིག་དང་ཨེ་ནས་སོ་སོ་ཡི་གེ་སྦྱོང་ཡ་དེ་ལས་ལ་ག་རེ་གི་ད་ག་རེ་གིས་བཟོས་རེད་ལབ་ན།  ,thag ring po chags ki 'dug ba/_e nas thag ring po chags dus skabs su/_e nas 'brel ba de yod ba da cig dang e nas so so yi ge sbyong ya de las la ga re gi da ga re gis bzos red lab na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0057_0109_941039_to_950198.wav,STT_NS,3,159,9.159,wav16k/STT_NS_M0057_0109_941039_to_950198.wav,ཐག་རིང་པོ་ཆགས་ཀི་འདུག་བ། ཨེ་ནས་ཐག་རིང་པོ་ཆགས་དུས་སྐབས་སུ། ཨེ་ནས་འབྲེལ་བ་འདི་ཡོད་བ་ད་གཅིག་དང་ཨེ་ནས་སོ་སོ་ཡི་གེ་སྦྱང་ཡ་དེ་ལས་ལ་ག་རེ་་ག་རེ་བཟོས་རེད་ལབ་ན།
STT_NS_M0056_0251_2327417_to_2337179,ཆགས་དུས་སྐབས་སུ་ཡོད་བ། བུ་གུ་གི་སྣང་བ་ད་ཆགས་འགྲོ་དུས་སྐབས་སུ་ཡོད་བ། ཨེ་ནས་ཏག་ཏག་པཱ་ཨོ་དེའི་སྐབས་སུ་ཡོད་བ། པཱ་ལགས་ཨ་མ་ལགས་ཡོད་བ། ད་བུ་གུ་ནང་བཞིན་ཡོད་བ་བྱམས་པོ་བྱེད་དགོས་རེད་ལབ་ཡིན་ཡོད་བ། ཨེ་ནས་མཉམ་དུ་ ,chags dus skabs su yod ba/_bu gu gi snang ba da chags 'gro dus skabs su yod ba/_e nas tag tag pA o de'i skabs su yod ba/_pA lags a ma lags yod ba/_da bu gu nang bzhin yod ba byams po byed dgos red lab yin yod ba/_e nas mnyam du _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0056_0251_2327417_to_2337179.wav,STT_NS,3,200,9.762,wav16k/STT_NS_M0056_0251_2327417_to_2337179.wav,ཆགས་དུས་སྐབས་སུ་ཡོད་བ། བུ་གུ་གི་སྣང་བ་ད་ཆགས་འགྲོ་དུས་སྐབས་སུཡོད་བ། ཨེ་ནས་ཏག་ཏག་པ་ཨོ་དིི་སྐབས་སུ་ཡོད་བ། པཱ་ལགས་ཨ་མ་ལ་ཡོད་བ། ད་པུ་གུ་ནང་བཞིན་ཡོད་བ་བྱམས་པོ་བྱེད་དགོས་རེད་ལབ་ཡིན་ཡད། ཨེ་ནས་མཉམ་དུ།
STT_NS_M0058_0163_1452192_to_1461391,བཏང་ཤེས་དགོས་རེད། ཨེ་ནས་བེད་སྤྱོད་རིག་པ་བེད་སྤྱོད་བྱེད་ཤེས་དགོས་རེད། ཨེ་ནས་ཁ་ནས་སྐད་ཆ་བཤད་ཤེས་དགོས་རེད། ཨོ་དེ་ཡིན་དུས་སྐབས་སུ་ཡོད་བ། མི་དང་དུད་འགྲོ་ཁྱད་པར་ཡོད་བ་བྱས་ད་སོ་སོ་ཧ་གོ་དགོས་རེད། ཁྱད་པར་ཡོད་རཱ།  ,btang shes dgos red/_e nas bed spyod rig pa bed spyod byed shes dgos red/_e nas kha nas skad cha bshad shes dgos red/_o de yin dus skabs su yod ba/_mi dang dud 'gro khyad par yod ba byas da so so ha go dgos red/_khyad par yod rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0058_0163_1452192_to_1461391.wav,STT_NS,3,204,9.199,wav16k/STT_NS_M0058_0163_1452192_to_1461391.wav,བཏང་བཤད་ཀི་གོས་རེད། ཨེ་ནས་བེད་སྤྱོད་རིག་པ་བེད་སྤྱོད་བྱེད་བཞག་གོད་རེད། ཨེ་ནས་ཁ་ནས་སྐད་ཆ་བཤད་བཞག་གོད་རེད། ཨོ་འདི་ཡིན་དུས་སྐབས་སུ་ཡོད་བ། མི་དང་དུད་འགྲོ་ཁྱད་པར་ཡོད་བ་བྱས་ད་སོ་སོ་ཧ་གོ་གི་ཡོད་རེད། ཁྱད་པར་ཡོད་རཱ།
